BP_RP,m_G
0.15096628046466165,0.062429513528613256
0.17092416792831155,0.06675033915367923
0.18672901758244187,0.07017676448534882
0.21202227548685126,0.07553697810049442
0.2270829649171766,0.07971665214173296
0.22843208226096312,0.07919767465702598
0.24404868264230828,0.08276492797846036
0.26044053835026837,0.08637593360476714
0.2847165786590562,0.09157148011220428
0.3034021945821772,0.09601434999155778
0.3173839679326589,0.09919068626196204
0.3405601857877558,0.10398189890064824
0.373008662714156,0.1102740045124948
0.3962884274494849,0.11534302683480124
0.4137178623430344,0.11934022482390994
0.4331175439155919,0.12347941567801879
0.44922791691053465,0.1275057134744273
0.45991834795389597,0.12934139273282774
0.4702571559132327,0.1255760427427628
0.48242629496420797,0.1340100880943531
0.5143537944622851,0.14074979946621902
0.5369777726121976,0.1460214761971077
0.548693089926731,0.14876897744588113
0.5921871111657584,0.15724654354713863
0.5935328689717574,0.1543043157952031
0.6144834711339673,0.16238201479146674
0.6628194306447766,0.17183461990317017
0.6631123224314024,0.17255974482723158
0.6772965290905448,0.17612549765342767
0.7567116106185665,0.19180304667694514
0.7695417506412996,0.1949518827914103
0.7877479133977774,0.19908592890248578
0.8506136986413804,0.21160760488412844
0.8716365073546246,0.21623340185263373
0.8836791081306918,0.17015024423749558
0.9139894472354246,0.22505067687392533
0.9761861151744586,0.23769777116897117
0.9976032885723134,0.23505295158697415
1.0272823043990327,0.2477196367253578
1.035973795463752,0.25010062969816627
1.0894772626650715,0.26127326461269984
1.1511156938218612,0.27379489565002135
1.1553150495689506,0.27556057795064426
1.18106546441423,0.278763863467522
1.183399796118552,0.26047892166427644
1.1868484937701647,0.2709083887636563
1.210678160331132,0.2864744142965012
1.255477466880233,0.2959735895925739
1.2845308237166018,0.3002847334091312
1.3676629684053792,0.31529630904743744
1.3875408806806506,0.3235690179024937
1.423849637447688,0.32889462689622917
1.4664753127762173,0.3392307294086674
1.471715575549461,0.33822645682701413
1.5467847160874681,0.3529590388635322
1.5798514781845636,0.33418112036475645
1.5909390486584751,0.3478935305344857
